Time (ps),Pressure (bar)

142.000000,-36.981556

143.000000,328.528778

144.000000,95.956055

145.000000,41.807919

146.000000,-69.362770

147.000000,-400.706146

148.000000,0.680945

149.000000,83.694160

150.000000,28.091278

151.000000,174.533310

152.000000,-495.031158

153.000000,43.074642

154.000000,-259.402954

155.000000,79.263206

156.000000,-486.251343

157.000000,297.929871

158.000000,-184.964905

159.000000,59.396313

160.000000,50.662739

161.000000,-24.973425

162.000000,-31.063965

163.000000,-77.953773

164.000000,-129.917328

165.000000,-197.567917

166.000000,-374.205078

167.000000,133.100464

168.000000,-351.643646

169.000000,-44.857464

170.000000,134.816788

171.000000,-68.867416

172.000000,-172.036011

173.000000,-69.431854

174.000000,165.909576

175.000000,-442.183868

176.000000,-169.761459

177.000000,-169.760696

178.000000,-79.202415

179.000000,-508.805511

180.000000,-74.667984

181.000000,-449.409271

182.000000,28.573143

183.000000,100.765900

184.000000,231.429993

185.000000,134.467560

186.000000,-246.684616

187.000000,-353.729614

188.000000,-139.446854

189.000000,-483.674225

190.000000,123.739311

191.000000,-36.851551

192.000000,197.589005

193.000000,-573.108398

194.000000,240.967712

195.000000,-281.189087

196.000000,162.454956

197.000000,-477.605316

198.000000,-98.469276

199.000000,-156.650055

200.000000,28.102537

201.000000,7.662699

202.000000,-200.093613

203.000000,64.625633

204.000000,-492.874634

205.000000,429.341888

206.000000,205.854614

207.000000,301.856750

208.000000,122.385857

209.000000,-696.391296

210.000000,-38.174911

211.000000,-125.214935

212.000000,-155.194733

213.000000,-189.565018

214.000000,-202.306412

215.000000,108.384338

216.000000,-72.829628

217.000000,-818.832458

218.000000,-180.022827

219.000000,-353.974854

220.000000,-127.474274

221.000000,-83.521103

222.000000,110.881096

223.000000,-352.954254

224.000000,145.169754

225.000000,-213.717087

226.000000,16.304636

227.000000,-225.396408

228.000000,260.732330

229.000000,252.771164

230.000000,271.260742

231.000000,-74.255058

232.000000,-536.873230

233.000000,203.065308

234.000000,-137.761993

235.000000,-834.056946

236.000000,193.245468

237.000000,189.866043

238.000000,72.894867

239.000000,396.110107

240.000000,53.472351

241.000000,-37.666199

242.000000,-276.839691

243.000000,-128.654434

244.000000,-317.048950

245.000000,-415.407227

246.000000,28.900360

247.000000,-314.418457

248.000000,-95.710991

249.000000,-507.370270

250.000000,-415.137329

251.000000,81.709251

252.000000,-824.097473

253.000000,-903.645691

254.000000,104.431030

255.000000,26.185156

256.000000,-345.860107

257.000000,-458.101318

258.000000,-597.802185

259.000000,-220.184891

260.000000,-496.182159

261.000000,-807.931335

262.000000,-463.626556

263.000000,37.524891

264.000000,-142.757828

265.000000,-869.824402

266.000000,-14.667308

267.000000,-521.711853

268.000000,-647.726990

269.000000,-473.117157

270.000000,-260.559052

271.000000,261.939636

272.000000,-1073.575317

273.000000,-435.194244

274.000000,-568.525635

275.000000,-1361.567749

276.000000,-33.241375

277.000000,-604.885742

278.000000,-1242.260620

279.000000,-1907.351562

280.000000,-949.081848

281.000000,-2003.115845

282.000000,-534.883667

283.000000,394.282806

284.000000,-1003.285828

285.000000,13.044556

286.000000,295.479584

287.000000,78.921867

288.000000,-1017.166931

289.000000,-673.136780

290.000000,-305.302338

291.000000,-524.425476

292.000000,772.434265

293.000000,233.779648

294.000000,571.767456

295.000000,962.115234

296.000000,775.133606

297.000000,80.822914

298.000000,1002.476624

299.000000,1767.621582

300.000000,-1609.583618

301.000000,785.584778

302.000000,1914.156372

303.000000,627.922180

304.000000,-132.357712

305.000000,1548.603027

306.000000,858.964783

307.000000,-755.083740

308.000000,-1074.448730

309.000000,-646.509033

310.000000,-211.050171

311.000000,-922.244202

312.000000,-55.188679

313.000000,369.035645

314.000000,-447.492218

315.000000,430.711578

316.000000,1264.541748

317.000000,124.558556

318.000000,626.178345

319.000000,590.221008

320.000000,629.031006

321.000000,-313.572845

322.000000,1020.207458

323.000000,-108.380806

324.000000,-846.350769

325.000000,222.211655

326.000000,597.316406

327.000000,-287.588013

328.000000,467.036957

329.000000,888.225159

330.000000,853.432556

331.000000,1269.633911

332.000000,-723.413879

333.000000,-625.925842

334.000000,-1159.293335

335.000000,634.313049

336.000000,-1192.000977

337.000000,1457.953735

338.000000,-622.422729

339.000000,61.551441

340.000000,-591.365967

341.000000,298.280365

342.000000,318.273224

343.000000,624.344177

344.000000,322.295624

345.000000,-759.723816

346.000000,392.792328

347.000000,-325.602570

348.000000,-597.739807

349.000000,-2017.740723

350.000000,396.380951

351.000000,-1039.524292

352.000000,1107.945679

353.000000,406.078247

354.000000,-1126.191772

355.000000,1251.923218

356.000000,-1238.512329

357.000000,41.247803

358.000000,1135.347168

359.000000,888.535950

360.000000,505.804291

361.000000,1178.927124

362.000000,809.445068

363.000000,20.404520

364.000000,1205.607422

365.000000,-741.468079

366.000000,2460.799805

367.000000,-101.954704

368.000000,976.152832

369.000000,251.851807

370.000000,-1016.313965

371.000000,1000.744629

372.000000,-765.140869

373.000000,-61.917561

374.000000,1087.901245

375.000000,-226.041992

376.000000,-150.334946

377.000000,796.623352

378.000000,-97.180664

379.000000,248.064987

380.000000,-502.183624

381.000000,1214.958374

382.000000,746.359375

383.000000,-449.888214

384.000000,708.051758

385.000000,-412.424164

386.000000,-879.030518

387.000000,-434.591156

388.000000,-382.546722

389.000000,1248.754883

390.000000,-1455.393921

391.000000,433.376617

392.000000,784.408997

393.000000,-1003.189453

394.000000,431.739258

395.000000,-1930.155884

396.000000,394.708282

397.000000,-614.065125

398.000000,140.929459

399.000000,-2111.806885

400.000000,-19.134623

401.000000,693.873779

402.000000,-70.518364

403.000000,-357.975586

404.000000,1732.743774

405.000000,603.838013

